記事ID,収集日時(UTC),ソース,タイトル,URL,公開日,概要(先頭200字),軸1_組織,軸2_制度仕組み,軸3_コンプライアンス,軸4_業務プロセス,軸5_データマネジメント,軸6_生成AI活用,軸7_業務統合,主要評価軸,推定レベル,判定根拠
a7b88336b585,2026-05-24 06:22,PR TIMES,Uravation、「AIに引用・推薦される企業」を目指す法人向けAIEO研修を提供。自社メディアでAI検索流入35%を実証,https://prtimes.jp/main/html/rd/p/000000138.000137731.html,2026-05-24,"[株式会社Uravation]
株式会社Uravation（本社：東京都文京区、代表取締役：佐藤 傑）は、ChatGPTやClaudeなどの生成AI／AI検索に「自社が引用・推薦される」状態を目指す、法人向け研修『AIEO研修（AI Engine Optimization／AI検索最...",,2,,2,,,2,制度・仕組み,2,法人向け研修の提供は、企業がAI活用推進のための教育プログラムという「制度・仕組み」構築を支援するため。
0885b5c8078b,2026-05-24 06:22,PR TIMES,Uravation主催「AIツール使い分け講座」開催。受講後満足度100%、9割が『自社業務で使える場面が見えた』と回答,https://prtimes.jp/main/html/rd/p/000000137.000137731.html,2026-05-24,"[株式会社Uravation]
株式会社Uravation（本社：東京都文京区、代表取締役：佐藤 傑）は、2026年5月23日、個人向けオンライン講座「AIツール使い分け講座」を開催しました。ChatGPT・Gemini・Claude・NotebookLM・Manusという主要5つ...",,,,,,2,,生成AI活用,2,主要な生成AIツールの使い分けに関する体系的な講座を実施し、受講者のモデル選定・運用スキル向上に寄与したため。
6d9ae34bd5ab,2026-05-24 06:23,PR TIMES,VARIETAS、大手企業らと「EU AI法」を見据えた採用AI実務ガイドライン策定へ。「AI HR安全利用検討ワーキンググループ」を発足,https://prtimes.jp/main/html/rd/p/000000057.000079152.html,2026-05-24,"[VARIETAS]
株式会社VARIETAS（本社：東京都品川区、読み方「バリエタス」）は、AI面接をはじめとする採用AI領域において、企業がより安心・安全に高度なテクノロジーを活用できる環境を整備するため、複数の大手企業と共に...",2,3,3,2,0,0,0,制度・仕組み,3,複数企業が「EU AI法」を見据え「採用AI実務ガイドライン」を共同策定する取り組みであり、AI活用の制度・仕組みとコンプライアンスの標準化を目指す。
4e311e2e3010,2026-05-24 06:23,PR TIMES,「生成AIの品質保証サービス」を標準化するガイドライン策定,https://prtimes.jp/main/html/rd/p/000000100.000048768.html,2026-05-24,"[株式会社ベリサーブ]
ソフトウェアの品質向上支援サービスを提供する株式会社ベリサーブ（本社：東京都千代田区、代表取締役社長：鴫原 忠大、以下 ベリサーブ）は、社内向けの「生成AIの品質保証サービス」に関するガイドラインを策...",,2,,2,,2,,制度・仕組み,2,「生成AIの品質保証サービス」に関する社内ガイドラインを策定し、基本方針を明文化する取り組み。
0efcfd9134c2,2026-05-24 06:23,PR TIMES,室内カビの発生リスクを予測する、AIを活用した「パーソナライズ・カビ予報システム」の共同研究を開始,https://prtimes.jp/main/html/rd/p/000000014.000056872.html,2026-05-24,"[ハーツリッチ株式会社]
慶應義塾大学SFC研究所の環境情報学部 中澤・大越研究室（中澤仁教授）とハーツリッチ株式会社（代表取締役：穂苅英樹）は、住宅・高齢者施設・病院・倉庫などの生活空間・施設環境におけるカビ発生リスクを事前...",1,0,0,1,1,1,0,生成AI活用,1,AIを活用したシステム開発の研究開始であり、AI活用の第一歩が示されているため。
6f52a086c478,2026-05-24 06:24,PR TIMES,WD顧客調査、AIインフラ計画において拡張性・経済性・信頼性への注目が高まっていることを明らかに,https://prtimes.jp/main/html/rd/p/000000013.000162177.html,2026-05-24,"[WD]
AIが継続的かつ実用規模のデータシステムへと進化する中、急増するデータストレージ要件の管理は、今やコンピュート性能と同等の重要性を持つ課題となっています。ウエスタンデジタル(https://www.westerndigital...",,,,,2,,,データマネジメント,2,AIインフラにおけるデータストレージ要件管理の重要性認識と、拡張性・経済性・信頼性への注目が基本方針の検討段階を示すため。
cc2a0e8747d5,2026-05-24 06:25,PR TIMES,AIは日本のテック人材の役割を再定義 ― 奪うのは「仕事」ではなく「タスク」― ヘイズ『テック・タレント・エクスプローラー』＆調査結果を公開,https://prtimes.jp/main/html/rd/p/000000365.000008738.html,2026-05-24,"[ヘイズ・ジャパン]
[画像: https://prcdn.freetls.fastly.net/release_image/8738/365/8738-365-46948a3bcbe47dd72b7ad6f619abb98b-800x420.png?width=536&amp;quality=85%2C75&amp;format=jpeg&amp;auto=webp&amp;fit=bounds",0,0,0,1,0,0,1,生成AIの業務プロセスへの統合,1,AIがタスクを奪い、人材の役割を再定義するという、生成AIの業務プロセスへの統合による影響を把握・分析しているため。
